Petr	Cech	1	G
Henrique Hilario	Meireles Alves Sampaio	1	G
Ross	Turnbull	1	G
Jamal	Blackman	1	G
Ryan	Bertrand	1	D
José	Bosingwa da Silva	1	D
Ashley	Cole	1	D
Alex Rodrigo	Dias da#Costa	1	D
Branislav	Ivanovic	1	D
David Luiz	Moreira Marinho	1	D
Paulo Renato	Rebocho Ferreira	1	D
John 	Terry	1	D
Michael	Essien	1	M
Frank	Lampard	1	M
Florent Johan	Malouda	1	M
Joshua Marl Josh	McEachran	1	M
John Michael	Nchekwube Obinna	1	M
Oriol	Romeu Vidal	1	M
Ramires	do#Nascimento	1	M
Raul José	Trindade Meireles	1	M
Nicolas	Anelka	1	A
Didier Yves	Drogba Tebily	1	A
Salomon Armand Magloire	Kalou	1	A
Romelu Menama	Lukaku	1	A
Juan Manuel	Mata Garcia	1	A
Daniel	Sturridge	1	A
Fernando José	Torres Sanz	1	A
Luis André	Pina Cabral Villas-Boas	1	C
Manuel	Almunia Rivero	2	G
Lukasz	Fabianski	2	G
Vito	Mannone	2	G
Damian Emilio	Martinez	2	G
Wojciech	Szczesny	2	G
Kieran	Gibbs	2	D
Daniel	Boateng	2	D
Johan	Djourou	2	D
Craig	Eastmond	2	D
André Clarindo	Santos	2	D
Carl	Jenkinson	2	D
Laurent	Koscielny	2	D
Per	Mertesacker	2	D
Ignasi	Miquel Pons	2	D
Bacary	Sagna	2	D
Sébastien	Squillaci	2	D
Thomas	Vermaelen Verminator Verma	2	D
Andrey	Arshavin	2	M
Mikel	Arteta Amatriain	2	M
Yossi Shai	Benayoun	2	M
Francis	Coquelin	2	M
Vassiriki Abou	Diaby	2	M
Emmanuel Yaw	Frimpong	2	M
Jernade	Meade	2	M
Alex	Oxlade Chamberlain	2	M
Oguzhan	Ozyakup	2	M
Tomas	Rosicky	2	M
Aaron	Ramsey	2	M
Alexandre Dimitri	Song Billong	2	M
Jack	Wilshere	2	M
Nicholas	Yennaris	2	M
Marouane	Chamakh	2	A
Gervais Yao	Gervinho Kouassi	2	A
Ryo	Miyaichi	2	A
Chu oung	Park	2	A
Robin	van#Persie	2	A
Theo	Walcott	2	A
Arsene	Wenger	2	C
Joe	Hart	3	G
Gunnar	Nielsen	3	G
Costel Fane	Pantilimon	3	G
Stuart	Taylor	3	G
Wayne Michael	Bridge	3	D
Gael	Clichy	3	D
Aleksandar	Kolarov	3	D
Vincent	Kompany	3	D
Joleon	Lescott	3	D
Nedum Chinedum 	Onuoha	3	D
Karim	Rekik	3	D
Micah	Richards	3	D
Stefan	Savic	3	D
Kolo Habib	Toure	3	D
Pablo Javier	Zabaleta Girod	3	D
Gareth	Barry	3	M
Nigel	de#Jong	3	M
Owen Lee	Hargreaves	3	M
David Josué	Jimenez Silva	3	M
Adam	Johnson	3	M
James	Milner	3	M
Samir	Nasri	3	M
Abdul	Razak	3	M
Denís	Suarez Fernandez	3	M
Yaya Gnegneri 	Toure	3	M
Sergio Leonel Kun	Aguero del#Castillo	3	A
Mario	Balotelli Barwuah	3	A
Edin	Dzeko	3	A
Carlos Alberto	Tevez	3	A
Roberto	Mancini	3	C
Ben Paul	Amos	4	G
David	De#Gea Quintana	4	G
Tomasz Miroslaw	Kuszczak	4	G
Anders	Lindegaard	4	G
Jonny Jonathan Grant 	Evans	4	D
Patrice	Evra	4	D
Ezekiel	Ezekiel	4	D
Rio Gavin	Ferdinand	4	D
Phil	Jones	4	D
Michael	Keane	4	D
Fabio	Pereira da#Silva	4	D
Rafael	Pereira Da#Silva	4	D
Christopher Lloyd	Smalling	4	D
Thomas Joseph	Thorpe	4	D
Marnick	Vermijl	4	D
Nemanja	Vidic	4	D
Luís Carlos	Nani	4	M
Michael	Carrick	4	M
Larnell	Cole	4	M
Thomas	Cleverly	4	M
Anderson Luis	de#Abreu Oliveira	4	M
Darren Barr	Fletcher	4	M
Darron Thomas Daniel	Gibson	4	M
Ryan Joseph	Giggs	4	M
Jesse	Lingard	4	M
Ravel Ryan	Morrison	4	M
Ji Sung	Park	4	M
Paul	Pogba	4	M
Antonio Luis	Valencia Mosquera	4	M
Ashley Simon	Young	4	M
Dimitar Ivanov	Berbatov	4	A
Mame Biram	Diouf	4	A
Javier	Hernandez Balcazar	4	A
William	Keane	4	A
Michael James	Owen	4	A
Federico	Macheda	4	A
Wayne Mark	Rooney	4	A
Danny Tackie Mensah 	Welbeck	4	A
Alex	Fergurson	4	C
